"NOMPROV","PROV","NOMDEPTO","DEPTO","FRAC","RADIO","TIPO","LINK","OBS2020","link_chr","codigo","indice_envejecimiento","pct_pob_65_mas","pct_pob_80_mas","tasa_actividad","tasa_empleo","pct_sin_agua_red","pct_desague_sin_red"
"NEUQUEN","58","Confluencia","035","20","04","M","580352004",NA,"580352004",580352004,100,11.32,1.89,70.21,68.09,35,55
"NEUQUEN","58","Confluencia","035","01","13","U","580350113",NA,"580350113",580350113,0,0,0,58.33,41.67,80,100
"NEUQUEN","58","Confluencia","035","01","14","U","580350114",NA,"580350114",580350114,0,0,0,42.86,28.57,0,0
"NEUQUEN","58","Confluencia","035","16","01","M","580351601",NA,"580351601",580351601,37.01,9.14,1.36,64.12,60.69,57.2,97.8
"NEUQUEN","58","Confluencia","035","16","02","U","580351602",NA,"580351602",580351602,25,6.8,1.21,62.62,59.02,12.1,84.3
"NEUQUEN","58","Confluencia","035","16","17","U","580351617",NA,"580351617",580351617,41.42,10.51,1.05,60.08,55.43,3.6,40.3
"NEUQUEN","58","Confluencia","035","16","03","M","580351603",NA,"580351603",580351603,34.65,9.28,1.69,68.93,65.82,59.6,100
"NEUQUEN","58","Confluencia","035","16","05","U","580351605",NA,"580351605",580351605,33.22,8.84,1.35,62.59,59.83,8.7,95.8
"NEUQUEN","58","Confluencia","035","16","06","M","580351606",NA,"580351606",580351606,52.17,11.27,2.4,66.54,64.46,16.6,65.4
"NEUQUEN","58","Confluencia","035","16","04","U","580351604",NA,"580351604",580351604,70.25,14.53,3.59,61.31,57.72,9.4,96.3
"NEUQUEN","58","Confluencia","035","16","07","M","580351607",NA,"580351607",580351607,27.31,6.45,1.33,69.31,64.19,21.3,84.9
"NEUQUEN","58","Confluencia","035","16","11","U","580351611",NA,"580351611",580351611,30.21,8.67,1.49,62.68,56.91,1.8,100
"NEUQUEN","58","Confluencia","035","25","10","U","580352510",NA,"580352510",580352510,95.36,13.91,2.03,60.83,54.91,9.2,11.6
"NEUQUEN","58","Confluencia","035","25","07","U","580352507",NA,"580352507",580352507,87.8,16.85,2.65,58,50.85,2.3,2.3
"NEUQUEN","58","Confluencia","035","25","08","U","580352508",NA,"580352508",580352508,64.08,11.91,1.81,68.4,64.5,1.3,2.2
"NEUQUEN","58","Confluencia","035","25","15","U","580352515",NA,"580352515",580352515,62.26,12.07,1.59,60.99,55.46,2.7,14.9
"NEUQUEN","58","Confluencia","035","35","10","U","580353510",NA,"580353510",580353510,6.56,2.18,0.27,72.39,68.24,2.3,83.1
"NEUQUEN","58","Confluencia","035","25","09","U","580352509",NA,"580352509",580352509,81.82,15.21,2.61,55.54,51.66,1.3,1.7
"NEUQUEN","58","Confluencia","035","17","04","U","580351704",NA,"580351704",580351704,62.5,11.44,2.29,58.84,55.52,1.1,3.3
"NEUQUEN","58","Confluencia","035","17","09","U","580351709",NA,"580351709",580351709,137.5,20.99,3.44,56.07,51.21,3,2.5
"NEUQUEN","58","Confluencia","035","17","01","U","580351701",NA,"580351701",580351701,103.55,18.07,5.07,62.04,57.9,4.3,2.3
"NEUQUEN","58","Confluencia","035","17","16","U","580351716",NA,"580351716",580351716,75.51,13.03,2.64,61.12,58.84,2.8,1.9
"NEUQUEN","58","Confluencia","035","17","17","U","580351717",NA,"580351717",580351717,121.36,20.59,4.45,60.39,56.12,2.3,2.3
"NEUQUEN","58","Confluencia","035","25","16","U","580352516",NA,"580352516",580352516,40.4,9.05,0.9,64.05,59.77,2.4,11.1
"NEUQUEN","58","Confluencia","035","17","10","U","580351710",NA,"580351710",580351710,107.14,20.32,5.64,60.11,58.2,1.7,4.1
"NEUQUEN","58","Confluencia","035","35","12","U","580353512",NA,"580353512",580353512,5.98,2.4,1.03,71.63,67.77,2.9,100
"NEUQUEN","58","Confluencia","035","35","11","U","580353511",NA,"580353511",580353511,5.95,1.95,0.19,76.35,74.07,6.6,95.8
"NEUQUEN","58","Confluencia","035","17","11","U","580351711",NA,"580351711",580351711,75.76,14.73,2.5,63.11,58.05,0.4,3.5
"NEUQUEN","58","Confluencia","035","25","17","U","580352517",NA,"580352517",580352517,52.61,11.4,1.33,63.66,58.89,3.6,8.7
"NEUQUEN","58","Confluencia","035","17","12","U","580351712",NA,"580351712",580351712,46.67,9.28,1.52,68.84,63.02,4.6,4.1
"NEUQUEN","58","Confluencia","035","36","01","U","580353601",NA,"580353601",580353601,6.45,2.19,0.41,73.67,68.78,4.4,67.3
"NEUQUEN","58","Confluencia","035","17","02","U","580351702",NA,"580351702",580351702,121.51,19.12,4.57,63.35,60.76,0.7,1.8
"NEUQUEN","58","Confluencia","035","17","18","U","580351718",NA,"580351718",580351718,104.9,18.17,4.07,60,56.53,1.8,3.6
"NEUQUEN","58","Confluencia","035","17","08","U","580351708",NA,"580351708",580351708,78.22,14.13,4.65,61.94,57.42,1.9,5.3
"NEUQUEN","58","Confluencia","035","17","03","U","580351703",NA,"580351703",580351703,104.69,16.79,5.01,64.53,59.01,1.7,2.3
"NEUQUEN","58","Confluencia","035","36","07","U","580353607",NA,"580353607",580353607,4.23,1.27,0,74.4,66.67,6.2,94.8
"NEUQUEN","58","Confluencia","035","36","02","U","580353602",NA,"580353602",580353602,7.8,2.4,0.15,71.49,67.09,3.5,22.5
"NEUQUEN","58","Confluencia","035","17","07","U","580351707",NA,"580351707",580351707,76.11,13.74,3.99,60.08,56.27,2.4,4
"NEUQUEN","58","Confluencia","035","36","03","U","580353603",NA,"580353603",580353603,28.03,5.99,0.16,72.18,67.14,1.5,2.5
"NEUQUEN","58","Confluencia","035","17","15","U","580351715",NA,"580351715",580351715,47.19,11.63,3.88,60.11,53.19,3.9,8.6
"NEUQUEN","58","Confluencia","035","17","13","U","580351713",NA,"580351713",580351713,100,17.28,2.66,64.03,54.15,3.2,4.8
"NEUQUEN","58","Confluencia","035","36","04","U","580353604",NA,"580353604",580353604,14.35,4.04,0.54,68.04,64.11,2.6,9.6
"NEUQUEN","58","Confluencia","035","36","08","U","580353608",NA,"580353608",580353608,2.94,1.21,0.24,70.59,65.88,4.1,100
"NEUQUEN","58","Confluencia","035","36","06","U","580353606",NA,"580353606",580353606,6.84,2.28,0.55,68.97,62.85,3.5,84.4
"NEUQUEN","58","Confluencia","035","16","09","M","580351609",NA,"580351609",580351609,25.81,6.14,1.73,73.38,70.15,15,49
